Date,Open,High,Low,Close,Volume
3-Jul-14,22.52,22.78,22.47,22.67,2590722
2-Jul-14,22.49,22.59,22.38,22.47,2940930
1-Jul-14,22.39,22.63,22.21,22.55,6115310
30-Jun-14,21.96,22.36,21.94,22.30,6257278
27-Jun-14,21.96,22.40,21.92,21.92,27029045
26-Jun-14,21.98,22.07,21.74,21.80,7037442
25-Jun-14,21.85,22.10,21.75,22.04,4619611
24-Jun-14,22.00,22.21,21.86,21.90,5361709
23-Jun-14,22.11,22.15,21.78,22.10,8967060
20-Jun-14,22.13,22.22,21.94,22.01,9030320
19-Jun-14,21.89,22.08,21.66,22.03,5458058
18-Jun-14,21.85,21.98,21.63,21.82,5249728
17-Jun-14,21.49,21.85,21.42,21.81,6833752
16-Jun-14,21.43,21.55,21.29,21.43,4063590
13-Jun-14,21.36,21.51,21.25,21.41,3488327
12-Jun-14,21.50,21.61,21.28,21.32,10527196
11-Jun-14,21.34,21.57,21.30,21.48,7430099
10-Jun-14,21.25,21.48,21.20,21.45,8125203
9-Jun-14,20.97,21.35,20.90,21.29,11098707
6-Jun-14,20.94,21.00,20.74,20.92,6182877
5-Jun-14,20.80,20.81,20.36,20.71,4871467
4-Jun-14,20.73,20.85,20.71,20.73,4942969
3-Jun-14,20.52,20.78,20.51,20.75,7689661
2-Jun-14,20.82,20.82,20.52,20.62,3491464
30-May-14,20.81,20.83,20.51,20.78,10286449
29-May-14,20.57,20.81,20.43,20.75,10602409
28-May-14,20.57,20.62,20.32,20.33,8307906
27-May-14,20.70,20.77,20.50,20.58,6048144
23-May-14,20.61,20.70,20.39,20.68,5982271
22-May-14,20.93,21.00,20.50,20.53,18897533
21-May-14,20.81,20.89,20.63,20.87,5648300
20-May-14,20.63,20.91,20.62,20.83,5046898
19-May-14,20.31,20.99,20.28,20.78,7054218
16-May-14,20.12,20.40,19.97,20.35,4270641
15-May-14,20.31,20.31,19.87,20.08,4856368
14-May-14,20.41,20.48,20.22,20.28,3027497
13-May-14,20.67,20.70,20.27,20.50,5359933
12-May-14,20.84,20.95,20.60,20.67,4426762
9-May-14,20.67,20.82,20.56,20.79,6970980
8-May-14,20.70,21.31,20.64,20.80,8513457
7-May-14,20.17,21.06,20.06,21.01,20043178
6-May-14,19.44,19.49,19.12,19.31,8440292
5-May-14,19.89,19.90,19.33,19.42,8977528
2-May-14,20.27,20.30,19.87,19.94,5981029
1-May-14,19.97,20.17,19.85,19.97,3004066
30-Apr-14,19.59,20.04,19.45,20.01,5563383
29-Apr-14,19.39,19.70,19.29,19.69,4191937
28-Apr-14,19.64,19.64,18.89,19.33,6142348
25-Apr-14,19.44,19.53,19.25,19.46,2934711
24-Apr-14,19.82,19.99,19.42,19.57,2326467
23-Apr-14,19.85,19.86,19.56,19.63,2876051
22-Apr-14,19.67,19.96,19.60,19.90,3837155
21-Apr-14,19.77,19.93,19.65,19.69,3722955
17-Apr-14,19.56,19.79,19.34,19.69,4592691
16-Apr-14,19.25,19.49,19.13,19.45,3824788
15-Apr-14,19.28,19.29,18.85,19.07,4516200
14-Apr-14,19.18,19.30,19.05,19.24,2806150
11-Apr-14,19.32,19.36,18.82,19.04,5339801
10-Apr-14,19.80,19.85,19.28,19.38,5036878
9-Apr-14,19.91,19.94,19.70,19.84,4550228
8-Apr-14,19.53,19.88,19.50,19.74,6040519
7-Apr-14,19.79,20.08,19.27,19.43,9802104
4-Apr-14,20.63,20.72,19.90,20.12,7245048
3-Apr-14,20.91,21.02,20.20,20.24,9215946
2-Apr-14,20.82,21.03,20.67,20.78,4703029
1-Apr-14,20.44,20.72,20.30,20.69,6631445
31-Mar-14,20.54,20.63,20.24,20.44,5097878
28-Mar-14,20.36,20.60,20.25,20.45,6082050
27-Mar-14,20.90,20.90,20.06,20.25,6860240
26-Mar-14,20.65,20.86,20.50,20.59,4620072
25-Mar-14,20.59,20.74,20.50,20.59,2890943
24-Mar-14,20.89,20.98,20.45,20.49,4835371
21-Mar-14,21.11,21.23,20.68,20.78,7984072
20-Mar-14,21.03,21.14,20.88,20.92,3348840
19-Mar-14,21.14,21.26,20.97,21.04,5942704
18-Mar-14,21.20,21.35,21.05,21.10,5363851
17-Mar-14,21.16,21.50,20.99,21.23,7427933
14-Mar-14,20.84,21.31,20.83,21.00,7773024
13-Mar-14,21.50,21.50,20.53,20.85,16099873
12-Mar-14,19.90,20.66,19.84,20.60,7112897
11-Mar-14,20.13,20.19,19.82,20.07,5311382
10-Mar-14,20.09,20.38,20.01,20.29,4683728
7-Mar-14,20.20,20.29,20.03,20.11,5544651
6-Mar-14,20.06,20.35,20.01,20.17,4707603
5-Mar-14,19.79,20.05,19.65,20.04,6588398
4-Mar-14,19.58,19.80,19.58,19.71,6547395
3-Mar-14,19.12,19.58,19.03,19.52,4425467
28-Feb-14,19.61,19.64,19.23,19.35,4936506
27-Feb-14,19.39,19.71,19.39,19.55,2767535
26-Feb-14,19.49,19.75,19.33,19.44,4555399
25-Feb-14,19.78,19.79,19.37,19.46,5304777
24-Feb-14,19.70,19.87,19.63,19.69,6421718
21-Feb-14,19.75,19.92,19.70,19.72,7827548
20-Feb-14,19.66,19.84,19.59,19.63,5095156
19-Feb-14,19.90,20.00,19.57,19.68,7843761
18-Feb-14,19.91,20.24,19.85,19.94,6435446
14-Feb-14,19.42,19.93,19.30,19.80,9008106
13-Feb-14,19.55,19.86,19.48,19.77,7972535
12-Feb-14,19.49,19.69,19.24,19.63,8002885
11-Feb-14,19.16,19.55,19.00,19.37,8944882
10-Feb-14,19.25,19.55,18.95,19.36,16779584
7-Feb-14,18.95,19.95,18.78,19.64,29882321
6-Feb-14,16.99,17.20,16.95,17.17,7383505
5-Feb-14,16.88,16.97,16.64,16.89,5566173
4-Feb-14,17.06,17.14,16.80,16.90,5463699
3-Feb-14,17.35,17.35,16.90,17.06,7001893
31-Jan-14,16.98,17.36,16.92,17.13,8471463
30-Jan-14,17.04,17.36,16.93,17.26,5021519
29-Jan-14,16.78,17.05,16.68,16.91,8286242
28-Jan-14,16.67,16.84,16.65,16.69,7202509
27-Jan-14,16.70,16.89,16.62,16.67,7575883
24-Jan-14,16.64,16.84,16.55,16.67,7993198
23-Jan-14,16.63,16.75,16.55,16.67,7209795
22-Jan-14,16.85,16.89,16.65,16.74,7998713
21-Jan-14,17.02,17.09,16.69,16.79,6331539
17-Jan-14,17.35,17.47,16.76,16.96,15311930
16-Jan-14,17.37,17.52,17.29,17.33,8097779
